path,label,split,hash,label_int
../data/avec_labels/cancer/05340cd4-3bb2-459d-9937-bf27d52d8351.jpg,cancer,labeled,82feb195cc989de29f0d584705afd746,1
../data/avec_labels/normal/595aa054-274a-4e4b-9a1b-c0c477c80463.jpg,normal,labeled,1868801e49e6cd18fb2e4189250921e4,0
../data/avec_labels/normal/525c8281-5980-4d11-b608-5176bdeb092b.jpg,normal,labeled,c544ce7a4227a08114007e31def727fb,0
../data/avec_labels/normal/500ef89c-b724-4799-9d49-37f8fdafa1f6.jpg,normal,labeled,427d44a774938b994e209142d4f31291,0
../data/avec_labels/normal/4a71d847-c91b-481d-b112-3550c6655893.jpg,normal,labeled,810b214eda419a0f4ffb9cb05f1aaf9b,0
../data/avec_labels/normal/4a2102b8-0fb8-479a-ad2a-0b5e704489e5.jpg,normal,labeled,a6a74bdd35025dba88e98062fe40f30e,0
../data/avec_labels/normal/4a08dc59-4f77-4ae0-80b4-749dbde82b82.jpg,normal,labeled,332baa8d1fb21c1ceec02e65ad46e3e3,0
../data/avec_labels/normal/4660cb59-2980-4933-a315-3326eb72148e.jpg,normal,labeled,0ca97312b2e3315681f66f3505c96987,0
../data/avec_labels/normal/42ba7707-26c1-42bc-a00f-3d456741ef96.jpg,normal,labeled,77b07300847ca91fb3acea668cb07e3f,0
../data/avec_labels/normal/41ba782a-10f9-4c8d-8a43-e0b74e3f2329.jpg,normal,labeled,0d0568b91837c4a9d369b00f0de99cc7,0
../data/avec_labels/normal/4131a20d-a19d-4cd9-8791-ee358e6f42d6.jpg,normal,labeled,234bef5f52771afb417f07b260c261f9,0
../data/avec_labels/normal/3f4cb3e9-75fc-4b40-942c-327f2498b37d.jpg,normal,labeled,e9523c2ac7c89a6a1380c5f0efa8f695,0
../data/avec_labels/normal/3ebe5f3a-90d3-4e79-af97-3d9584215044.jpg,normal,labeled,d4b8493bf3e24910bdad482dc7502a77,0
../data/avec_labels/normal/3e3f6d78-0983-46a9-8755-a67b5f3f5b20.jpg,normal,labeled,4912140fe796cd7077d35b8ff98c4c1f,0
../data/avec_labels/normal/3c213abc-ab17-4037-a8e5-caa7bc1babe1.jpg,normal,labeled,637d62b900ddf7e7632146f0caa821a2,0
../data/avec_labels/normal/2794c549-1ec3-4d08-abed-84ccd53791f3.jpg,normal,labeled,478653d5d962cb8a665dad62a846f603,0
../data/avec_labels/normal/2593c9b2-36d5-433b-81bf-44ab993a795e.jpg,normal,labeled,df7e098b4eb81f5b81865c93ead0ccd1,0
../data/avec_labels/normal/2251259e-64fd-44cd-b813-357d0a47e563.jpg,normal,labeled,eaeb102cd99661f157923b9eff689053,0
../data/avec_labels/normal/22164f5b-9b9f-4fcc-897a-9f902d730bbe.jpg,normal,labeled,e3c3ccdc157450a7649c35437153fd22,0
../data/avec_labels/normal/1953e998-29b8-4d36-975f-007c4fcb84a3.jpg,normal,labeled,e22c54983c7d4b1d1357119cec273784,0
../data/avec_labels/normal/14703976-0467-4acb-ade4-8a375ebfd4f9.jpg,normal,labeled,e6c470529cb4867b36bd31aaf71607ed,0
../data/avec_labels/normal/11825cf3-9b35-42d3-ac99-21f26dd2f94e.jpg,normal,labeled,6d7b20c66c53b3ca21faf45932d27169,0
../data/avec_labels/normal/64b1b1ba-52e5-449d-9537-d2a1e07c0b10.jpg,normal,labeled,a2a734462cd31983c2402dba3305ffac,0
../data/avec_labels/normal/692bfc6f-bcec-42a8-90e9-a867895b9a4b.jpg,normal,labeled,c33d9bfe54114ba89a9aefbd2f913e84,0
../data/avec_labels/normal/6c861380-76ee-490d-bf28-a0232af08c43.jpg,normal,labeled,9fc79860dc2892183230155ffe0965d0,0
../data/avec_labels/normal/6eb7dfc4-dd36-41cb-b5ea-f68c01aab86b.jpg,normal,labeled,4f5f80f9074b2997d8dff6aaec9771f8,0
../data/avec_labels/normal/e3257bee-1143-4866-9d50-618c4ce1413e.jpg,normal,labeled,84984af273a362a7b21f4689b1e00d31,0
../data/avec_labels/normal/e30c2ce4-50bd-44a9-8db0-d54f47cc61b5.jpg,normal,labeled,6dec8aac2278da4e1b9ac1387edcb16c,0
../data/avec_labels/normal/defdbef3-bea2-4f32-9d9a-62af1102ebfd.jpg,normal,labeled,0652cb55477c4edeea5c5dfd53944e3b,0
../data/avec_labels/normal/d86f39ec-55a1-4484-bcfd-78d5debb43f8.jpg,normal,labeled,1e2fd8da45a9cc434c617ae227ac9e27,0
../data/avec_labels/normal/cfda6929-14c5-41b9-b754-6922cb0920dc.jpg,normal,labeled,4e17a91d39411b61681c273aa77e2833,0
../data/avec_labels/normal/cb46329d-12f5-451d-94c6-cb094c101742.jpg,normal,labeled,e9596fd4adb21b94e83ceb62336f2174,0
../data/avec_labels/normal/c5a4a35f-f192-4df8-b2c7-025b3619cbae.jpg,normal,labeled,3c262de25c9ce057ae0cee625b2eab7b,0
../data/avec_labels/normal/c3c504f7-a12a-42e5-92dc-41d0c0ef0ecd.jpg,normal,labeled,c116e3ed8bb120c991792d0aae3d7fe2,0
../data/avec_labels/normal/b9b56b95-43de-4c35-8362-400e9271af71.jpg,normal,labeled,34153b917f7b0535b60b20ae02adcbf8,0
../data/avec_labels/normal/b8a6c84a-b258-475d-b97d-7612bad79cad.jpg,normal,labeled,927d1b6a8e1125c432791deaee49b0d1,0
../data/avec_labels/normal/09316c60-86c8-4f24-934e-8d433b8b9d72.jpg,normal,labeled,fa2f6066ee4f4e22f35c46c4ddf8584b,0
../data/avec_labels/normal/b24be149-f92f-41bf-bc4f-bf1953122ab8.jpg,normal,labeled,632a73cb7aba88fa8e3115be49fa6845,0
../data/avec_labels/normal/ab973d15-084b-402c-9ffe-3b953ad26f4b.jpg,normal,labeled,340cba7718cd50b43deaafa5935109dc,0
